date,total,scrap,rate
2026-03-11,858,38,4.428904428904429
2026-03-17,446,20,4.484304932735426
2026-03-18,478,29,6.066945606694561
2026-03-25,783,80,10.217113665389528
2026-04-01,786,36,4.580152671755725
2026-04-06,92,14,15.217391304347828
2026-04-08,893,42,4.703247480403135
2026-04-15,623,58,9.309791332263243
2026-04-22,737,22,2.9850746268656714
2026-04-23,215,1,0.46511627906976744
2026-04-27,2,0,0.0
2026-04-29,866,42,4.849884526558892
2026-04-30,116,4,3.4482758620689653
2026-05-06,477,0,0.0
