tool,defect,param,n_bad,n_good,good_p50,good_p5,good_p95,bad_p50,pct_diff,abs_cliffs,cliffs,welch_p,rf_imp,within_cv,actionable,sig,composite
1,Dent,BT Circuit 2 Temp,19,2077,26.0,24.0,27.0,25.0,-1.98,0.252,-0.252,0.06653582553383985,0.0365,0.0396,True,False,0.0
1,Dent,Graining Vacuum TTF Cavity 1,19,2077,1.0,1.0,2.0,2.0,31.75,0.434,0.434,0.00028630287626417786,0.0283,0.3734,True,True,1.3924
1,Dent,Machine Cycle Time,19,2077,834.0,721.8,9999.0,826.0,14.17,0.112,0.112,0.7245695050942103,0.0427,1.531,True,False,0.0
1,Dent,Capacity THT,19,2077,60.0,55.0,75.0,60.0,-2.08,0.181,-0.181,0.23597713600571218,0.0076,0.0808,True,False,0.0
1,Dent,Capacity BHT,19,2077,55.0,35.0,60.0,55.0,2.69,0.142,0.142,0.2602193722087616,0.0053,0.1133,True,False,0.0
1,Dent,Time Feed to Vacuum 1,19,2077,79.0,60.0,80.0,79.0,1.24,0.115,0.115,0.39562000460714036,0.0405,0.0744,True,False,0.0
1,Dent,Pyro Clean,19,2077,253.0,26.0,470.0,300.0,28.2,0.326,0.326,0.0018050365436395627,0.1256,0.5196,True,True,5.2196
1,Dent,Top Tool Pos Close,19,2077,12480.0,12480.0,12500.0,12480.0,0.02,0.148,0.148,0.20949587508306913,0.0044,0.0007,False,False,0.0
1,Dent,Pos Vinyl N Length,19,2077,21.0,0.0,56.0,27.0,68.67,0.309,0.309,0.010153026264603727,0.0647,1.0175,True,False,0.0
1,Dent,Pos Vinyl N Width,19,2077,23.0,0.0,33.0,28.0,64.07,0.382,0.382,0.00022065926198749678,0.0483,0.8847,True,True,2.1612
1,Dent,Pos Vinyl S Length,19,2077,120.0,0.0,131.0,119.0,26.5,0.138,0.138,1.7640210906128227e-07,0.0578,0.5334,True,True,2.3948
1,Dent,Pos Vinyl S Width,19,2077,249.0,0.0,257.0,250.0,29.7,0.127,0.127,1.4032510063423013e-86,0.0684,0.5247,True,True,2.8122000000000003
1,Dent,Roller Gap LH,19,2077,10.0,9.0,11.0,9.0,-1.99,0.143,-0.143,0.38802775849779203,0.0225,0.0976,True,False,0.0
1,Dent,Roller Gap RH,19,2077,1.0,1.0,3.0,1.0,1.19,0.004,-0.004,0.9297805082022407,0.0016,0.6292,True,False,0.0
1,Dent,Glue Temp,19,2077,146.0,144.0,147.0,146.0,-0.06,0.035,-0.035,0.7442416847717838,0.0111,0.0076,False,False,0.0
1,Dent,Stetch Length Pick Up,19,2077,18450.0,18400.0,18500.0,18400.0,-0.13,0.323,-0.323,0.0032500617730811037,0.0557,0.0023,False,True,0.0
1,Dent,Stetch Length Stretch 1,19,2077,18430.0,18430.0,18450.0,18430.0,0.02,0.209,0.209,0.08371087450512144,0.0064,0.0004,False,False,0.0
1,Dent,Stetch Length Stretch 3,19,2077,18480.0,18480.0,18500.0,18480.0,0.01,0.052,0.052,0.5504053382301174,0.0036,0.0003,False,False,0.0
1,Dent,Stretch Cross Stretch 1,19,2077,9520.0,9500.0,9520.0,9520.0,-0.04,0.19,-0.19,0.11265096176441976,0.0108,0.0008,False,False,0.0
1,Dent,Stretch Cross Stretch 2,19,2077,9550.0,9520.0,9550.0,9550.0,-0.06,0.19,-0.19,0.11222624953654943,0.0103,0.0012,False,False,0.0
1,Dent,Stretch Cross Stretch 3,19,2077,9650.0,9630.0,9650.0,9650.0,0.04,0.199,0.199,3.56515167169944e-93,0.0092,0.0009,False,True,0.0
1,Dent,Temp Z1,19,2077,140.0,110.0,179.0,144.0,1.36,0.023,0.023,0.7375065097740795,0.029,0.1589,True,False,0.0
1,Dent,Temp Z2,19,2077,135.0,106.0,170.0,140.0,3.08,0.063,0.063,0.47608325747243974,0.0445,0.1565,True,False,0.0
